"","X1","X2","X3"
"209","COM.VALEA DOFTANEI",NA,NA
"210","COM.VULCAN","45.661117","25.604002"
"211","COM.ZATRENI",NA,NA
"212","COMAN, COM. SANDULENI",NA,NA
"213","COMANESTI","46.4216579","26.438008"
"214","COMARNIC","45.2428373","25.6342908"
"215","COMUNA FLORESTI","46.7442664","23.4845868"
"216","CONSTANTA","44.1767161","28.6507598"
"217","COPALNIC-MANASTUR","47.5091485","23.6792647"
"218","COPSA MICA","46.1123071","24.2282191"
"219","CORUNCA","46.5209075","24.6176402"
"220","COSTESTI","44.6620233","24.8770102"
"221","COTU VAMES, COM. HORIA",NA,NA
"222","CRACAOANI, COM. CRACAOANI",NA,NA
"223","CRAIESTI","46.2962804","24.1967482"
"224","CRAIOVA","44.3190159","23.7965614"
"225","CRISCIOR","46.1224758","22.8609955"
"226","CRISTESTI","46.5038587","24.4844571"
"227","CRISTIAN","45.783709","24.0282908"
"228","CRISTURU SECUIESC","46.2889771","25.0355987"
"229","CUVIN","46.1663922","21.5950055"
"230","CUZDRIOARA","47.1677299","23.9199158"
"231","DANCU, COM. HOLBOCA",NA,NA
"232","DATE PERSONALE",NA,NA
"233","DEALU CORBULUI","47.4496646","23.6852328"
"234","DEALU, COM. ZVORISTEA",NA,NA
"235","DEJ","47.1426672","23.8759884"
"236","DETA","45.3888968","21.2244427"
"237","DEVA","45.8817402","22.9008611"
"238","DEVESELU","44.0554029","24.3893839"
"239","DEZMIR","46.7638474","23.7162688"
"240","DOBA","51.1251275","1.3134228"
"241","DOROHOI","47.9537609","26.3969973"
"242","DRAGANESTI-OLT","44.1684732","24.5219723"
"243","DRAGASANI","44.6592011","24.2643412"
"244","DROBETA-TURNU SEVERIN","44.6257835","22.6531975"
"245","DROBETA -TURNU SEVERIN","44.6257835","22.6531975"
"246","DROBETA TR. SEVERIN","44.6295414","22.6739991882936"
"247","DROBETA TR.SEVERIN","44.6295414","22.6739991882936"
"248","DROBETA TURNU-SEVERIN","44.6257835","22.6531975"
"249","DROBETA TURNU SEVERIN","44.6257835","22.6531975"
"250","DUMBRAVA ROSIE, COM. DUMBRAVA ROSIE",NA,NA
"251","DUMBRAVENI","46.2243242","24.5758694"
"252","DUMBRAVENI, COM. DUMBRAVENI",NA,NA
"253","DUMBRAVITA","45.8018764","21.247858"
"254","DUMITRITA","47.0714286","24.6257867"
"255","EFORIE NORD","44.0637934","28.6337441"
"256","ESTELNIC","46.1039744","26.2096093"
"257","FAGARAS","45.8449433","24.9703224"
"258","FARAOANI, COM. FARAOANI",NA,NA
"259","FARCAS","44.606141","23.7456393"
"260","FELEACU","46.7146865","23.6181378"
"261","FETESTI","44.3702855","27.8367985"
"262","FLORESTI","46.292509","23.1490826"
"263","FOCSANI","45.697274","27.1856921"
"264","FUNDU MOLDOVEI, COM. FUNDU MOLDOVEI",NA,NA
"265","GAESTI","44.7207093","25.3194711"
"266","GALATI","45.4338215","28.0549395"
"267","GALAUTAS","46.9108276","25.4066075"
"268","GHEORGHENI","46.7213467","25.5998915"
"269","GHERLA","47.0287702","23.9077402"
"270","GHIRODA","45.7681865","21.3016829"
"271","GIROC","45.6941795","21.2358535"
"272","GIURGIU","43.8959058","25.9658111"
"273","GLAVANESTI, COM. GLAVANESTI",NA,NA
"274","GOGOSARI","43.8585951","25.7060971"
"275","GRAJDENI, COM. FRUNTISENI",NA,NA
"276","GURA HUMORULUI","47.5534268","25.8932723"
"277","GURAHONT","46.2698912","22.3420912"
"278","GURGHIU","46.7722299","24.8579789"
"279","H<U+0395>RLAU",NA,NA
"280","HATEG","45.609725","22.9486986"
"281","HIDISELU DE SUS","46.9330113","22.0445057"
"282","HORIA, COM. HORIA",NA,NA
"283","HUNEDOARA","45.7958547","22.9444837841064"
"284","HUTANI, COM. VLADENI",NA,NA
"285","IANCA","47.2844479","21.9917392"
"286","IANCULESTI","45.2539072","24.5006066"
"287","IASI","47.1615341","27.5836142"
"288","IAZ, COM. STRUGARI",NA,NA
"289","IBANESTI","46.7705028","24.9299099"
"290","IGRIS","42.2187337","-0.435244760205677"
"291","ILISESTI, COM. ILISESTI",NA,NA
"292","INEU","46.4259913","21.8416915"
"293","JIBOU","47.260376","23.2578878"
"294","JILAVA","49.396064","15.5903065"
"295","JIMBOLIA","45.7910112","20.7180407"
"296","JOSENII BÂRGAULUI","47.2078971","24.6750673"
"297","LAZURI","46.3634735","23.0235933"
"298","LELICENI","46.3467606","25.8476568"
"299","LERESTI","45.328833","25.0717585"
"300","LETEA VECHE, COM. LETEA VECHE",NA,NA
"301","LILIECI, COM. HEMEIUS",NA,NA
"302","LIPOVA","46.0934651","21.6998116"
"303","LIVEZILE","46.3472723","23.6477156"
"304","LOC.ZERVESTI",NA,NA
"305","LUDUS","46.4833055","24.0950842"
"306","LUGOJ","45.6862542","21.9063162"
"307","LUNA DE SUS","46.7425493","23.4318414"
"308","LUNCA CETATUII, COM. CIUREA",NA,NA
"309","LUPENI","45.3540332","23.2103185"
"310","MACIN","45.247359","28.1341543"
"311","MAGINA (MUN. AIUD)",NA,NA
"312","MAGURELE","45.1022492","26.0372636"
"313","MANECIU","45.3160671","25.9922062"
"314","MANGALIA","43.8150793","28.5830306"
"315","MARGHITA","47.34662","22.3414987"
"316","MASTACAN, COM. BORLESTI",NA,NA
"317","MEDGIDIA","44.2443001","28.269625"
"318","MEDIAS","46.1625212","24.3473855"
"319","MEDIESU AURIT","47.7895851","23.1364319"
"320","MIERCUREA CIUC","46.3614042","25.8026675"
"321","MIHAILESTI","44.3246217","25.9068881"
"322","MIHOVENI, COM. SCHEIA",NA,NA
"323","MINTIU GHERLII","47.0546014","23.9439929"
"324","MIOVENI","44.9566154","24.9377507"
"325","MIROSLAVA, COM. MIROSLAVA",NA,NA
"326","MITOCU DRAGOMIRNEI, COM. MITOCU DRAGOMIRNEI",NA,NA
"327","MITOCUL DRAGOMIRNEI, COM. MITOCU DRAGOMIRNEI",NA,NA
